Topic;Document Title
0;Blockchain 3.0 for sustainable healthcare
0;Pathological changes or technical artefacts? The problem of the heterogenous databases in COVID-19 CXR image analysis
0;Longform Multimodal Lay Summarization of Scientific Papers: Towards Automatically Generating Science Blogs from Research Articles
1;"Analysis of the current status of research on accuracy traceability based on computational holographic detection technology(inner cover paper); [计算全息检测技术的精度溯源研究现状分析（内封面文章）]"
1;"Big Data in mechanical research: Potentials, applications and challenges; [力学研究中""大数据""的启示, 应用与挑战]"
1;"On the Research of Climate-Smart Forestry; [关于“气候智慧林业”研究的思考]"
2;"Grasping the new characteristics of new sci-tech revolution and its ethical issues for scientific and technological ethics governance; [科技伦理治理要准确把握新科技革命及其伦理问题的新特点]"
2;"ChatGPT and the Its Impact on the Development Trends of the Library Field; [ChatGPT 与图书馆的领域动向]"
2;Impacts of groundwater and climate variability on terrestrial groundwater dependent ecosystems: a review of geospatial assessment approaches and challenges and possible future research directions
3;2014 3rd International Conference on Intelligent System and Applied Material, GSAM 2014
3;"Advances in Preparation of Boron Nitride Ceramic Fiber via Polymer-Derived Ceramics; [先驱体转化法制备氮化硼陶瓷纤维研究进展]"
3;Problems of Regulation and Prospective Development of E-commerce Systems in the Post-coronavirus Era
4;Impacts of climate variability and drought on surface water resources in sub-saharan africa using remote sensing: A review
4;Adaptation of small and medium-sized enterprises in the service sector to the conditions of Industry 4.0 and Society 4.0: evidence from the Czech Republic
4;AI alignment: Assessing the global impact of recommender systems
5;"Academic expression: Development trends of scientific articles driven by technology; [学术与表达: 技术驱动下的科技论文发展趋势]"
5;Riparian restoration in sandy zones with alfalfa as pioneer plant in initial stage of soil and water bioengineering
5;"SUBJECTNESS OF DIGITAL COMMUNICATION IN THE CONTEXT OF THE TECHNOLOGICAL EVOLUTION OF THE CONTEMPORARY SOCIETY: THREATS, CHALLENGES, AND RISKS1; [TEMATYKA KOMUNIKACJI CYFROWEJ W KONTEKŚCIE EWOLUCJI TECHNOLOGICZNEJ WSPÓŁCZESNEGO SPOŁECZEŃSTWA:]"
